directive_title,directive_type,brand_code,status
Clicks Learn More on Tiles,goal,FSP,Done
Clicks Learn More on Tiles,goal,GUY,To do
Clicks Learn More on Tiles,goal,JUK,To do
Clicks Learn More on Tiles,goal,MOJ,To do
Clicks Learn More on Tiles,goal,MRH,To do
Clicks Learn More on Tiles,goal,MRR,To do
Clicks Learn More on Tiles,goal,MRR-CA,N/A
Clicks Learn More on Tiles,goal,MRE,To do
Clicks Learn More on Tiles,goal,SHG,N/A
Clicks Learn More on Tiles,goal,WDG,N/A
Clicks Link in Navigation,goal,MRA,Done
Clicks Link in Navigation,goal,ASV,To do
Clicks Link in Navigation,goal,MDG,Done
Clicks Link in Navigation,goal,PDS,To do
Clicks Link in Navigation,goal,RBW,Done
Clicks Link in Navigation,goal,MLY,To do
Clicks Link in Navigation,goal,FSP,Done
Clicks Link in Navigation,goal,GUY,To do
Clicks Link in Navigation,goal,JUK,To do
Clicks Link in Navigation,goal,MOJ,To do
Clicks Link in Navigation,goal,MRH,To do
Clicks Link in Navigation,goal,MRR,To do
Clicks Link in Navigation,goal,MRR-CA,N/A
Clicks Link in Navigation,goal,MRE,To do
Clicks Link in Navigation,goal,SHG,N/A
Clicks Link in Navigation,goal,WDG,N/A
Clicks Nav Scheduler CTA,goal,MRA,Done
Clicks Nav Scheduler CTA,goal,ASV,Done
Clicks Nav Scheduler CTA,goal,MDG,Done
Clicks Nav Scheduler CTA,goal,PDS,Done
Clicks Nav Scheduler CTA,goal,RBW,Done
Clicks Nav Scheduler CTA,goal,MLY,To do
Clicks Nav Scheduler CTA,goal,FSP,Done
Clicks Nav Scheduler CTA,goal,GUY,To do
Clicks Nav Scheduler CTA,goal,JUK,To do
Clicks Nav Scheduler CTA,goal,MOJ,To do
Clicks Nav Scheduler CTA,goal,MRH,To do
Clicks Nav Scheduler CTA,goal,MRR,To do
Clicks Nav Scheduler CTA,goal,MRR-CA,N/A
Clicks Nav Scheduler CTA,goal,MRE,To do
Clicks Nav Scheduler CTA,goal,SHG,N/A
Clicks Nav Scheduler CTA,goal,WDG,N/A
Clicks Offer Section Scheduler CTA,goal,MRA,Done
Clicks Offer Section Scheduler CTA,goal,ASV,Done
Clicks Offer Section Scheduler CTA,goal,MDG,Done
Clicks Offer Section Scheduler CTA,goal,PDS,Done
Clicks Offer Section Scheduler CTA,goal,RBW,To do
